FUNCTION;THREADS;ITEMS;OPS;COMMITS;ABORTS;TIME (s);PROB;;;FUNCTION;THREADS;ITEMS;OPS;COMMITS;ABORTS;TIME (s);PROB;;;FUNCTION;THREADS;ITEMS;OPS;COMMITS;ABORTS;TIME (s);PROB
SEQUENTIAL;2;20;2;4000;15;0.077842;0.2;;;MIXED;2;20;2;4000;96;0.080124;0.2;;;RANDOM;2;20;2;4000;64;0.080560;0.2
SEQUENTIAL;2;20;2;4000;17;0.080532;0.2;;;MIXED;2;20;2;4000;94;0.079613;0.2;;;RANDOM;2;20;2;4000;10;0.081596;0.2
SEQUENTIAL;2;20;2;4000;35;0.086661;0.2;;;MIXED;2;20;2;4000;81;0.082682;0.2;;;RANDOM;2;20;2;4000;87;0.079864;0.2
SEQUENTIAL;2;20;2;4000;37;0.079924;0.2;;;MIXED;2;20;2;4000;62;0.080440;0.2;;;RANDOM;2;20;2;4000;121;0.083741;0.2
SEQUENTIAL;2;20;2;4000;35;0.081726;0;;;MIXED;2;20;2;4000;86;0.079548;0;;;RANDOM;2;20;2;4000;15;0.079496;0
SEQUENTIAL;2;20;2;4000;191;0.079382;0;;;MIXED;2;20;2;4000;83;0.081084;0;;;RANDOM;2;20;2;4000;50;0.081594;0
SEQUENTIAL;2;20;2;4000;28;0.077385;0;;;MIXED;2;20;2;4000;65;0.081240;0;;;RANDOM;2;20;2;4000;38;0.082977;0
SEQUENTIAL;2;20;2;4000;29;0.080148;0;;;MIXED;2;20;2;4000;107;0.083922;0;;;RANDOM;2;20;2;4000;12;0.079598;0
SEQUENTIAL;2;20;2;4000;95;0.086142;0;;;MIXED;2;20;2;4000;64;0.072424;0;;;RANDOM;2;20;2;4000;20;0.075832;0
SEQUENTIAL;2;20;2;4000;105;0.078039;0;;;MIXED;2;20;2;4000;135;0.077713;0;;;RANDOM;2;20;2;4000;24;0.071959;0
SEQUENTIAL;2;20;2;4000;21;0.073540;0;;;MIXED;2;20;2;4000;38;0.082159;0;;;RANDOM;2;20;2;4000;11;0.085793;0
SEQUENTIAL;2;20;2;4000;167;0.080817;0;;;MIXED;2;20;2;4000;29;0.082303;0;;;RANDOM;2;20;2;4000;14;0.079218;0
SEQUENTIAL;2;20;2;4000;68;0.070554;0;;;MIXED;2;20;2;4000;84;0.080303;0;;;RANDOM;2;20;2;4000;6;0.079538;0
SEQUENTIAL;2;20;2;4000;24;0.078041;0;;;MIXED;2;20;2;4000;51;0.074716;0;;;RANDOM;2;20;2;4000;31;0.077255;0
SEQUENTIAL;2;20;5;4000;0;0.082512;1;;;MIXED;2;20;5;4000;0;0.091716;1;;;RANDOM;2;20;5;4000;0;0.081611;1
SEQUENTIAL;2;20;5;4000;0;0.086996;1;;;MIXED;2;20;5;4000;0;0.082780;1;;;RANDOM;2;20;5;4000;0;0.085701;1
SEQUENTIAL;2;20;5;4000;0;0.082835;1;;;MIXED;2;20;5;4000;0;0.094724;1;;;RANDOM;2;20;5;4000;0;0.087956;1
SEQUENTIAL;2;20;5;4000;0;0.082473;1;;;MIXED;2;20;5;4000;0;0.082057;1;;;RANDOM;2;20;5;4000;0;0.080449;1
SEQUENTIAL;2;20;5;4000;0;0.086520;1;;;MIXED;2;20;5;4000;0;0.082633;1;;;RANDOM;2;20;5;4000;0;0.088347;1
SEQUENTIAL;2;20;5;4000;0;0.081729;1;;;MIXED;2;20;5;4000;0;0.090315;1;;;RANDOM;2;20;5;4000;0;0.083931;1
SEQUENTIAL;2;20;5;4000;0;0.077256;1;;;MIXED;2;20;5;4000;0;0.084266;1;;;RANDOM;2;20;5;4000;0;0.085179;1
SEQUENTIAL;2;20;5;4000;0;0.084228;1;;;MIXED;2;20;5;4000;0;0.090097;1;;;RANDOM;2;20;5;4000;0;0.090475;1
SEQUENTIAL;2;20;5;4000;0;0.083492;1;;;MIXED;2;20;5;4000;0;0.077909;1;;;RANDOM;2;20;5;4000;0;0.089819;1
SEQUENTIAL;2;20;5;4000;0;0.080598;1;;;MIXED;2;20;5;4000;0;0.083209;1;;;RANDOM;2;20;5;4000;0;0.086383;1
SEQUENTIAL;2;20;5;4000;408;0.079715;0.8;;;MIXED;2;20;5;4000;124;0.081127;0.8;;;RANDOM;2;20;5;4000;34;0.081996;0.8
SEQUENTIAL;2;20;5;4000;187;0.100101;0.8;;;MIXED;2;20;5;4000;49;0.084846;0.8;;;RANDOM;2;20;5;4000;50;0.085456;0.8
SEQUENTIAL;2;20;5;4000;99;0.084641;0.8;;;MIXED;2;20;5;4000;59;0.080459;0.8;;;RANDOM;2;20;5;4000;14;0.084691;0.8
SEQUENTIAL;2;20;5;4000;376;0.083503;0.8;;;MIXED;2;20;5;4000;178;0.087530;0.8;;;RANDOM;2;20;5;4000;8;0.085240;0.8
SEQUENTIAL;2;20;5;4000;206;0.084789;0.8;;;MIXED;2;20;5;4000;17;0.084087;0.8;;;RANDOM;2;20;5;4000;22;0.083623;0.8
SEQUENTIAL;2;20;5;4000;78;0.085065;0.8;;;MIXED;2;20;5;4000;22;0.083870;0.8;;;RANDOM;2;20;5;4000;6;0.094207;0.8
SEQUENTIAL;2;20;5;4000;42;0.082719;0.8;;;MIXED;2;20;5;4000;124;0.085258;0.8;;;RANDOM;2;20;5;4000;48;0.085682;0.8
SEQUENTIAL;2;20;5;4000;400;0.082105;0.8;;;MIXED;2;20;5;4000;129;0.085215;0.8;;;RANDOM;2;20;5;4000;34;0.087093;0.8
SEQUENTIAL;2;20;5;4000;135;0.085828;0.8;;;MIXED;2;20;5;4000;90;0.090038;0.8;;;RANDOM;2;20;5;4000;26;0.086164;0.8
SEQUENTIAL;2;20;5;4000;64;0.080971;0.8;;;MIXED;2;20;5;4000;165;0.084957;0.8;;;RANDOM;2;20;5;4000;19;0.086498;0.8
SEQUENTIAL;2;20;5;4000;531;0.082316;0.6;;;MIXED;2;20;5;4000;283;0.091085;0.6;;;RANDOM;2;20;5;4000;58;0.091931;0.6
SEQUENTIAL;2;20;5;4000;490;0.083899;0.6;;;MIXED;2;20;5;4000;361;0.087612;0.6;;;RANDOM;2;20;5;4000;290;0.089123;0.6
SEQUENTIAL;2;20;5;4000;93;0.084178;0.6;;;MIXED;2;20;5;4000;289;0.086543;0.6;;;RANDOM;2;20;5;4000;10;0.086754;0.6
SEQUENTIAL;2;20;5;4000;185;0.082782;0.6;;;MIXED;2;20;5;4000;322;0.090326;0.6;;;RANDOM;2;20;5;4000;180;0.090981;0.6
SEQUENTIAL;2;20;5;4000;51;0.085652;0.6;;;MIXED;2;20;5;4000;360;0.087350;0.6;;;RANDOM;2;20;5;4000;82;0.086172;0.6
SEQUENTIAL;2;20;5;4000;250;0.084318;0.6;;;MIXED;2;20;5;4000;449;0.090781;0.6;;;RANDOM;2;20;5;4000;8;0.084528;0.6
SEQUENTIAL;2;20;5;4000;185;0.082089;0.6;;;MIXED;2;20;5;4000;291;0.087178;0.6;;;RANDOM;2;20;5;4000;72;0.084041;0.6
SEQUENTIAL;2;20;5;4000;18;0.083829;0.6;;;MIXED;2;20;5;4000;313;0.085335;0.6;;;RANDOM;2;20;5;4000;100;0.089603;0.6
SEQUENTIAL;2;20;5;4000;409;0.084847;0.6;;;MIXED;2;20;5;4000;413;0.091029;0.6;;;RANDOM;2;20;5;4000;125;0.087218;0.6
SEQUENTIAL;2;20;5;4000;447;0.084590;0.6;;;MIXED;2;20;5;4000;314;0.086596;0.6;;;RANDOM;2;20;5;4000;295;0.088014;0.6
SEQUENTIAL;2;20;5;4000;91;0.085158;0.4;;;MIXED;2;20;5;4000;501;0.092724;0.4;;;RANDOM;2;20;5;4000;92;0.087826;0.4
SEQUENTIAL;2;20;5;4000;73;0.083525;0.4;;;MIXED;2;20;5;4000;282;0.087057;0.4;;;RANDOM;2;20;5;4000;23;0.086466;0.4
SEQUENTIAL;2;20;5;4000;37;0.082781;0.4;;;MIXED;2;20;5;4000;331;0.093427;0.4;;;RANDOM;2;20;5;4000;40;0.084833;0.4
SEQUENTIAL;2;20;5;4000;68;0.084578;0.4;;;MIXED;2;20;5;4000;435;0.084712;0.4;;;RANDOM;2;20;5;4000;460;0.090217;0.4
